,fire_name,discovery_month,putout_time,year
2648,ALDRICH BRANCH #2,Nov,1,2012
2650,PARKER,Jul,93,2000
2657,FALKOR,Aug,1,2014
2659,R182,May,0,1996
2660,LEWIS,Jun,0,1998
2661,JONES LOOP 485,Mar,0,2013
2674,SCONA LODGE,Apr,0,1997
2687,HASTINGS,Jul,0,2008
2692,FY2011-COFFEE-066,Mar,0,2011
2693,SUMMIT,Oct,0,1999
2705,SAND CREEK,Oct,1,2012
2708,OLD AIRPORT 3,Jun,0,2012
2712,FY2011-CLAY-025,Jun,0,2011
2714,R16,Mar,0,1995
2722,SHIPROCK01,Mar,0,2000
2725,BEN SPRINGS,Jun,1,2006
2736,SLADE ROAD,Nov,0,2013
2739,SHOCKEY,Jul,0,2004
2740,RRMP415,Aug,0,1992
2749,OAK,Feb,0,2015
2751,TP,Jun,0,2007
2753,SABAL PALM (11),Jul,0,2014
2757,10517,Sep,0,2011
2763,KOELLING,Jul,0,2006
2766,30389,Mar,0,2009
2774,9.12014E+12,Dec,0,2014
2782,340 N. OLDENWAY,May,0,2007
2787,KEE FIRE,Feb,0,2007
2788,KEELING,May,0,2013
2795,HENDERSON - 7111,Aug,0,2012
2800,MACHINE,Apr,0,2015
2803,BLUEJAY 97,May,2,1997
2816,JOHNSONVILLE SCHOOL ROAD 2,Dec,0,2012
2817,BACHELOR CREEK,May,1,2011
2830,WAGON WHEEL,Apr,1,1996
2832,FY2014-OCONEE-001,Nov,0,2013
2833,SPLINTER,Jul,0,2001
2837,AIRPORT,Jun,0,2013
2838,FY2013-RICHMOND-011,Jan,0,2013
2845,BALFOUR 2,Oct,0,2014
2849,CRA13818841,Mar,0,2014
2859,FY2002-BULLOCH-125,Mar,0,2002
2860,OR-MAF-2014-14410,Aug,2,2014
2864,COTTONWD#2,Jul,0,1996
2866,JOHNNY,Aug,28,2000
2868,RL520,May,0,2002
2872,FY2012-BLECKLEY-008,Aug,0,2011
2878,ROLLER COASTER,Feb,3,2008
2887,SALT CREEK,Sep,0,2011
2902,FY2001-MILLER-032,Jan,0,2001
2905,TWIN PEAKS,Jul,16,2006
2924,TUBE,Jul,4,1994
2925,FIXICO,Oct,0,2005
2929,MT. MISERY,Feb,0,2011
2932,INC 194,Aug,0,2010
2934,COORS FIRE,Oct,1,2006
2948,RODGERS CREEK,Apr,0,2009
2951,PRAIRIE,Jul,0,1993
2960,BROCKTON,Mar,0,1992
2966,SCISSORS,Jul,0,2000
2974,CLARE 12,May,0,2013
2975,FY2013-MACON-014,Jan,0,2013
2978,IRONWOOD DR. FIRE,Feb,0,2015
2979,BLACKHAWK,Jul,0,2000
2984,WHISKEY SP,Aug,1,2003
2985,TH1814,Apr,0,1995
2986,FIVE POINT,Jul,0,1997
2987,TIRE,Mar,0,2007
2994,HORN,Sep,0,2000
2997,HOLY,Jul,1,2004
3007,MILL DAM 2,Jun,0,1998
3009,FIRST BOX,Aug,6,2003
3010,KEENEY,Aug,1,1998
3012,LAKE MOUNT,Sep,1,1996
3019,LOOKOUT,Mar,0,2010
3022,DUMP 2,Jul,0,1992
3027,FY2000-HALL-023,Feb,0,2000
3028,FY2013-BALDWIN-008,Oct,0,2012
3030,DEEP CREEK,Aug,0,2005
3036,PIPKIN HILL,Feb,0,1996
3038,25,Jan,0,2015
3044,LANCASTER,Feb,1,2006
3047,NEW COLONY DR,Jun,0,2011
3050,FORNET,Jun,0,1996
3060,COLD SPRINGS RANCH #470,Aug,0,2015
3065,RL523,Apr,0,2003
3084,COLVILLE,Jul,0,2000
3085,EXCHANGE RD. 1,Mar,0,2010
3090,ROBIN CREEK 2,Sep,1,1995
3097,THREADGILL,Feb,0,2007
3107,SLIDE CREEK,Aug,50,2006
3109,F.D.-2,Jul,1,2011
3116,BREWSTER,Jul,1,1996
3118,HONOR,Jul,0,2002
3121,TRUMP ISLAND,Jul,1,2013
3129,GILBERT'S FIRE,Feb,0,2010
3162,Q2,Feb,0,2014
3165,FY2015-GWINNETT-002,Feb,0,2015
