,fire_size,fire_cause,latitude,longitude,state,discovery_month,putout_time,year
1585,1.21,Debris Burning,30.91525278,-84.53261667,GA,Nov,0,2012
1593,9.0,Accidental,48.4903,-108.7985,MT,Mar,0,2008
1596,1.0,Utilities,37.28412,-83.06997,KY,Apr,1,2009
1597,8.0,Debris Burning,33.731216,-81.68399000000001,SC,Oct,0,2013
1599,62.0,Lightning,29.48277778,-81.80916667,FL,Aug,2,2014
1608,23.0,Accidental,30.19416667,-84.81638889,FL,Feb,0,2013
1610,94.0,Arson,37.95896804,-82.46998378,WV,Feb,1,1992
1613,1.0,Debris Burning,36.1975,-78.18826667,NC,Feb,0,2012
1620,8.9,Arson,36.8961,-94.7139,OK,Mar,0,2008
1624,1221.0,Lightning,40.05,-105.05,CO,Jul,6,1994
1626,15.0,Lightning,42.28833333,-112.3533333,ID,Aug,0,1996
1627,88.0,Debris Burning,45.79132749,-94.09810455,MN,Apr,0,2015
1628,1.0,Arson,34.83688894,-88.24872434,MS,Mar,0,1994
1629,3073.0,Lightning,47.4289,-114.3914,MT,Aug,31,2015
1633,15.0,Arson,35.87686666,-94.55785001,OK,Sep,0,2011
